Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
M,30,1.83,,KEN,2020,Summer,Tokyo,,Rugby Sevens Men's Rugby Sevens
M,35,1.91,,SWE,2020,Summer,Tokyo,,Handball Men's Handball
F,24,,,IRI,2020,Summer,Tokyo,,Badminton Women's Singles
F,19,1.54,,AZE,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
M,27,,,IRI,2020,Summer,Tokyo,,Men's Canoe Sprint
M,25,,,ARM,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,35,,,AZE,2020,Summer,Tokyo,Silver,Men's Karate
M,26,,,NGR,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
F,19,1.68,,ITA,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
M,28,,,TUR,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,28,2.05,,TUN,2020,Summer,Tokyo,,Volleyball Men's Volleyball
M,25,,,ITA,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,29,,,BRA,2020,Summer,Tokyo,Bronze,Judo Women's Half-Middleweight
F,25,1.7,,USA,2020,Summer,Tokyo,Silver,Women's Baseball/Softball
M,24,,,CHI,2020,Summer,Tokyo,,Archery Men's Individual
F,27,,,COL,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,38,1.96,,ESP,2020,Summer,Tokyo,Bronze,Handball Men's Handball
M,22,1.76,,MEX,2020,Summer,Tokyo,Bronze,Football Men's Football
M,23,1.71,,MEX,2020,Summer,Tokyo,Bronze,Football Men's Football
M,18,1.92,,ESP,2020,Summer,Tokyo,,Water Polo Men's Water Polo
F,20,1.56,,MEX,2020,Summer,Tokyo,Bronze,Diving Women's Platform
M,20,,,SAM,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,22,,,BRU,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,19,1.64,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,18,,,BRN,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,31,,,EGY,2020,Summer,Tokyo,,"Wrestling Women's Light-Heavyweight, Freestyle"
F,17,,,BAN,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,27,1.85,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
M,29,,,CAN,2020,Summer,Tokyo,Silver,Athletics Men's Shot Put
F,22,,,EGY,2020,Summer,Tokyo,,Women's Canoe Sprint
M,22,1.88,,KOR,2020,Summer,Tokyo,,Football Men's Football
F,29,,,BEN,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,33,,,CIV,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,33,,,INA,2020,Summer,Tokyo,,Badminton Men's Singles
F,22,1.63,,USA,2020,Summer,Tokyo,,Women's Trampoline Gymnastics
F,28,,,TTO,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,18,,,CHN,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,34,1.92,,ITA,2020,Summer,Tokyo,,Water Polo Men's Water Polo
M,31,,,GER,2020,Summer,Tokyo,Bronze,Men's Canoe Slalom
F,21,1.85,,ROU,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,21,,,SEN,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,26,,,KAZ,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,21,1.86,,ROU,2020,Summer,Tokyo,,Football Men's Football
F,18,,,INA,2020,Summer,Tokyo,Bronze,Weightlifting Women's Super-Heavyweight
M,35,,,ALG,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
M,32,,,MAR,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,31,1.68,,FRA,2020,Summer,Tokyo,,Men's Artistic Gymnastics
F,23,1.75,,GBR,2020,Summer,Tokyo,,Rugby Sevens Women's Rugby Sevens
M,23,,,JPN,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,25,1.8,,CAN,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,22,1.85,,JPN,2020,Summer,Tokyo,Silver,Basketball Women's Basketball
M,30,,,TUR,2020,Summer,Tokyo,Bronze,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,38,,,TUR,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
F,23,1.56,,ROC,2020,Summer,Tokyo,Gold,Women's Artistic Gymnastics
M,20,,,TJK,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,35,,,KAZ,2020,Summer,Tokyo,,"Wrestling Women's Light-Heavyweight, Freestyle"
M,25,,,ROC,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,33,1.91,,USA,2020,Summer,Tokyo,Gold,Volleyball Women's Volleyball
F,27,,,KEN,2020,Summer,Tokyo,,Boxing Women's Flyweight
M,20,,,TUR,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
F,27,,,INA,2020,Summer,Tokyo,,Weightlifting Women's Super-Heavyweight
M,22,,,KGZ,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,24,1.91,,LAT,2020,Summer,Tokyo,,Men's Canoe Sprint
F,29,1.68,,TUR,2020,Summer,Tokyo,,Volleyball Women's Volleyball
M,25,,,TUR,2020,Summer,Tokyo,Bronze,Men's Karate
M,21,,,OMA,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,36,,,MAR,2020,Summer,Tokyo,,Men's Equestrian
F,23,,,OMA,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,21,,,PLE,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,34,,,KUW,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,32,,,OMA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,26,,,IRQ,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
M,35,,,OMA,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
