Sex,NOC,Height,Weight,Age,Season,City,Year,Event,Medal
M,ETH,173.0,0.0,19.0,Summer,Paris,2024,"Athletics ""Mens 1500m""",
F,MEX,156.0,0.0,31.0,Summer,Paris,2024,"Athletics ""Womens 20km Race Walk""",
M,MEX,176.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens 20km Race Walk""",
M,MEX,168.0,0.0,29.0,Summer,Paris,2024,"Athletics ""Mens 20km Race Walk""",
F,IRI,0.0,0.0,38.0,Summer,Paris,2024,"Table Tennis ""Womens Singles""",
F,IRI,0.0,0.0,25.0,Summer,Paris,2024,"Archery ""Womens Individual""",
M,SGP,175.0,0.0,27.0,Summer,Paris,2024,"Badminton ""Mens Singles""",
M,SGP,171.0,0.0,29.0,Summer,Paris,2024,Badminton Mixed Doubles,
F,SGP,167.0,0.0,31.0,Summer,Paris,2024,Badminton Mixed Doubles,
F,SGP,163.0,0.0,25.0,Summer,Paris,2024,"Badminton ""Womens Singles""",
M,IRI,0.0,0.0,22.0,Summer,Paris,2024,"Cycling Road ""Mens Road Race""",
F,IRI,161.0,0.0,31.0,Summer,Paris,2024,"Athletics ""Womens 100m""",
M,IRI,182.0,0.0,31.0,Summer,Paris,2024,"Athletics ""Mens 100m""",
M,IND,0.0,0.0,25.0,Summer,Paris,2024,"Rowing ""Mens Single Sculls""",
F,JAM,188.0,0.0,32.0,Summer,Paris,2024,"Athletics ""Womens Triple Jump""",Silver
M,SKN,175.0,0.0,22.0,Summer,Paris,2024,"Athletics ""Mens 100m""",
M,IRI,0.0,0.0,25.0,Summer,Paris,2024,"Weightlifting ""Mens +102kg""",
M,IRI,0.0,0.0,24.0,Summer,Paris,2024,"Weightlifting ""Mens 89kg""",
F,ETH,166.0,0.0,22.0,Summer,Paris,2024,"Athletics ""Womens 1500m""",
F,ETH,164.0,0.0,18.0,Summer,Paris,2024,"Athletics ""Womens 1500m""",
F,ETH,166.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Womens 5000m""",
M,IRI,0.0,0.0,31.0,Summer,Paris,2024,"Canoe Sprint ""Mens Kayak Single 1000m""",
M,CGO,0.0,0.0,24.0,Summer,Paris,2024,"Swimming ""Mens 50m Freestyle""",
M,ETH,171.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Mens 10,000m""",Silver
M,ETH,185.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens 10,000m""",
M,ETH,173.0,0.0,30.0,Summer,Paris,2024,"Athletics ""Mens 5000m""",
F,CGO,0.0,0.0,25.0,Summer,Paris,2024,"Swimming ""Womens 50m Freestyle""",
F,CGO,168.0,0.0,31.0,Summer,Paris,2024,"Athletics ""Womens 100m""",
F,IND,0.0,0.0,30.0,Summer,Paris,2024,"Weightlifting ""Womens 49kg""",
M,ETH,170.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Mens 10,000m""",
M,ETH,175.0,0.0,25.0,Summer,Paris,2024,"Athletics ""Mens 1500m""",
M,ETH,170.0,0.0,21.0,Summer,Paris,2024,"Athletics ""Mens 5000m""",
M,ETH,177.0,0.0,18.0,Summer,Paris,2024,"Athletics ""Mens 5000m""",
F,ETH,165.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Womens 5000m""",
F,ETH,162.0,0.0,19.0,Summer,Paris,2024,"Athletics ""Womens 5000m""",
F,ETH,167.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Womens 10,000m""",
F,SGP,0.0,0.0,28.0,Summer,Paris,2024,"Table Tennis ""Womens Singles""",
M,SGP,0.0,0.0,18.0,Summer,Paris,2024,"Table Tennis ""Mens Singles""",
M,PUR,178.0,0.0,29.0,Summer,Paris,2024,"Athletics ""Mens Hammer Throw""",
M,PUR,184.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Mens Decathlon""",
F,PUR,154.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Womens 20km Race Walk""",
F,PUR,165.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 400m""",
M,ISV,0.0,0.0,23.0,Summer,Paris,2024,"Archery ""Mens Individual""",
M,PUR,198.0,0.0,33.0,Summer,Paris,2024,"Athletics ""Mens High Jump""",
F,ARG,0.0,0.0,29.0,Summer,Paris,2024,"Swimming ""Womens 100m Breaststroke"", ""Womens 200m Breaststroke""",
F,PUR,160.0,0.0,28.0,Summer,Paris,2024,"Athletics ""Womens 100m Hurdles""",Bronze
M,LCA,0.0,0.0,25.0,Summer,Paris,2024,"Sailing ""Mens Dinghy""",
M,PUR,0.0,0.0,27.0,Summer,Paris,2024,"Sailing ""Mens Dinghy""",
M,PUR,0.0,0.0,26.0,Summer,Paris,2024,"Wrestling ""Mens Freestyle 65kg""",Bronze
F,PUR,165.0,0.0,33.0,Summer,Paris,2024,"Boxing ""Womens 57kg""",
F,MEX,0.0,0.0,21.0,Summer,Paris,2024,"Swimming ""Womens 100m Backstroke""",
M,JAM,180.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens 400m Hurdles""",
M,MEX,0.0,0.0,27.0,Summer,Paris,2024,"Swimming ""Mens 100m Freestyle"", ""Mens 200m Freestyle""",
F,ARG,0.0,0.0,16.0,Summer,Paris,2024,"Swimming ""Womens 400m Freestyle"", ""Womens 800m Freestyle""",
F,MHL,0.0,0.0,28.0,Summer,Paris,2024,"Weightlifting ""Womens 59kg""",
F,MHL,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Womens 50m Freestyle""",
M,MHL,0.0,0.0,27.0,Summer,Paris,2024,"Swimming ""Mens 50m Freestyle""",
M,MEX,171.0,0.0,28.0,Summer,Paris,2024,"Badminton ""Mens Singles""",
F,MEX,0.0,0.0,25.0,Summer,Paris,2024,Judo Women -52 kg,
F,MEX,0.0,0.0,28.0,Summer,Paris,2024,Judo Women -63 kg,Silver
M,IRI,0.0,0.0,25.0,Summer,Paris,2024,"Canoe Sprint ""Mens Canoe Single 1000m""",
M,IRQ,181.0,0.0,23.0,Summer,Paris,2024,Football Men,
F,LCA,170.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Womens 100m"", ""Womens 200m""",Gold
F,LCA,170.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Womens 100m"", ""Womens 200m""",Silver
M,LCA,182.0,0.0,22.0,Summer,Paris,2024,"Athletics ""Mens 400m""",
M,IRQ,172.0,0.0,21.0,Summer,Paris,2024,Football Men,
F,ETH,163.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 10,000m"", ""Womens 1500m"", ""Womens 5000m""",
F,JOR,0.0,0.0,30.0,Summer,Paris,2024,Taekwondo Women -67kg,
F,ETH,161.0,0.0,26.0,Summer,Paris,2024,"Athletics ""Womens 10,000m""",
F,IRI,0.0,0.0,22.0,Summer,Paris,2024,"Rowing ""Womens Single Sculls""",
M,JOR,0.0,0.0,26.0,Summer,Paris,2024,Taekwondo Men -80kg,
M,OMA,0.0,0.0,39.0,Summer,Paris,2024,Shooting Trap Men,
M,OMA,0.0,0.0,25.0,Summer,Paris,2024,"Swimming ""Mens 100m Freestyle""",
M,JOR,0.0,0.0,23.0,Summer,Paris,2024,Taekwondo Men -68kg,Silver
M,IND,0.0,0.0,25.0,Summer,Paris,2024,"Sailing ""Mens Dinghy""",
F,IND,0.0,0.0,27.0,Summer,Paris,2024,"Sailing ""Womens Dinghy""",
M,ARG,0.0,0.0,19.0,Summer,Paris,2024,"Swimming ""Mens 100m Backstroke""",
F,ARG,155.0,0.0,32.0,Summer,Paris,2024,"Athletics ""Womens Marathon""",
F,ARG,163.0,0.0,30.0,Summer,Paris,2024,"Athletics ""Womens 3000m Steeplechase""",
M,ARG,172.0,0.0,28.0,Summer,Paris,2024,"Athletics ""Mens Hammer Throw""",
M,ARG,188.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Mens 400m""",
M,ARG,194.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Mens Shot Put""",
M,GHA,168.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Mens 4 x 100m Relay""",
M,LCA,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Mens 100m Freestyle""",
M,LBA,0.0,0.0,24.0,Summer,Paris,2024,"Weightlifting ""Mens 102kg""",
M,LBA,0.0,0.0,21.0,Summer,Paris,2024,"Rowing ""Mens Single Sculls""",
M,ALG,0.0,0.0,34.0,Summer,Paris,2024,"Rowing ""Mens Single Sculls""",
M,ARG,0.0,0.0,36.0,Summer,Paris,2024,Shooting Skeet Men,
M,ARG,0.0,0.0,24.0,Summer,Paris,2024,"Shooting 10m Air Rifle Men, 10m Air Rifle Mixed Team",
F,ARG,0.0,0.0,25.0,Summer,Paris,2024,"Shooting 10m Air Rifle Women, 10m Air Rifle Mixed Team",
M,CAY,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Mens 100m Freestyle"", ""Mens 50m Freestyle""",
F,ARG,0.0,0.0,27.0,Summer,Paris,2024,Sailing Mixed Multihull,
F,ARG,0.0,0.0,17.0,Summer,Paris,2024,"Sailing ""Womens Windsurfing""",
M,ARG,0.0,0.0,30.0,Summer,Paris,2024,Sailing Mixed Multihull,
M,ARG,0.0,0.0,26.0,Summer,Paris,2024,"Sailing ""Mens Windsurfing""",
F,ARG,0.0,0.0,18.0,Summer,Paris,2024,"Sailing ""Womens Kite""",
F,GUY,0.0,0.0,27.0,Summer,Paris,2024,"Table Tennis ""Womens Singles""",
M,IND,0.0,0.0,37.0,Summer,Paris,2024,Shooting Trap Men,
M,IND,0.0,0.0,29.0,Summer,Paris,2024,Shooting 50m Rifle 3 Positions Men,Bronze
F,IND,0.0,0.0,29.0,Summer,Paris,2024,"Table Tennis ""Womens Singles"", ""Womens Team""",
M,IND,0.0,0.0,24.0,Summer,Paris,2024,"Table Tennis ""Mens Team""",
F,AIN,0.0,0.0,27.0,Summer,Paris,2024,"Swimming ""Womens 100m Breaststroke"", ""Womens 200m Breaststroke""",
F,IND,0.0,0.0,26.0,Summer,Paris,2024,"Table Tennis ""Womens Singles"", ""Womens Team""",
F,IND,0.0,0.0,28.0,Summer,Paris,2024,"Shooting Skeet Women, Skeet Mixed Team",
M,AIN,0.0,0.0,30.0,Summer,Paris,2024,"Swimming ""Mens 100m Breaststroke""",
M,IND,0.0,0.0,42.0,Summer,Paris,2024,"Table Tennis ""Mens Singles"", ""Mens Team""",
F,AIN,0.0,0.0,21.0,Summer,Paris,2024,"Swimming ""Womens 100m Backstroke"", ""Womens 200m Backstroke""",
